source	target	weight	p_value
VEGF	PRSS12	-2.96010160529825	1.62934857032691e-07
VEGF	FBN2	-2.67947236269197	1.74937696579179e-07
VEGF	ST8SIA5	1.49216457277086	1.77252694593821e-07
VEGF	CADPS	1.48068881225047	1.78813903060888e-07
VEGF	HNRNPLL	-2.1918952102067	1.79230930232553e-07
VEGF	KIF26B	-1.25132770714319	2.01086717289746e-07
VEGF	YAE1	4.00017331052691	2.02218124014714e-07
VEGF	TNFSF11	2.33338096564402	2.05680307831741e-07
VEGF	ACSL4	2.94952436841756	2.17481703596706e-07
VEGF	PDCD10	2.07021618756099	2.24487096426373e-07
VEGF	TP53RK	3.02212903616207	2.25794139522848e-07
VEGF	CCBE1	-2.58104636866003	2.30471417536256e-07
VEGF	SLC35E2A	-15.7327651108963	2.41500463382874e-07
VEGF	GNA12	2.29827027744438	2.49437637903195e-07
VEGF	KCNK12	1.51702985811079	2.50731044687787e-07
VEGF	JAKMIP1	-1.55826573614492	2.65714826651513e-07
VEGF	TAFA5	-2.3394635032396	2.74891011030816e-07
VEGF	MICAL2	2.93472462123407	2.75790809142732e-07
VEGF	ZSWIM3	2.56697465389779	2.80152973936895e-07
VEGF	CLEC11A	-2.18871340117366	2.85341796942796e-07
VEGF	FLT3	-2.52757668611816	2.88489197039277e-07
VEGF	AOX1	-3.01690214279545	3.24037207060808e-07
VEGF	SNX29	-1.88995022619519	3.28903905739425e-07
VEGF	OBI1	2.08033447677452	3.35564301034569e-07
VEGF	PPM1E	-1.78943699898476	3.51820510338473e-07
VEGF	CLEC5A	2.69453580365157	3.6546411635645e-07
VEGF	ATG10	-1.45522708389579	3.88242338154974e-07
VEGF	CDY1B	-1.18323982860941	3.99871719431731e-07
VEGF	CDK12	1.26807654612335	4.19846684901491e-07
VEGF	PEX2	-1.96718778406958	4.42872862729467e-07
VEGF	PARVB	1.78117379270762	4.4609285902524e-07
VEGF	ZNF547	1.80007825946308	4.46811693528434e-07
VEGF	ZNF786	2.92127600765388	4.62084020786287e-07
VEGF	AP1G1	1.71454054048463	4.68233630765765e-07
VEGF	RPS27	-2.01006949280963	4.80582751289378e-07
VEGF	REN	2.89485474619371	4.98453801892542e-07
VEGF	GOSR2	1.17306292016054	5.13876862358466e-07
VEGF	ZNF322	2.51122377043659	5.7678470380681e-07
VEGF	NLGN4Y	-1.38350117145025	5.9840708250354e-07
VEGF	C17orf67	2.21536210407319	6.10388653325428e-07
VEGF	ARHGAP28	-2.05420833663234	6.51372632198399e-07
VEGF	GPAT3	8.75992210296717	6.63435431729674e-07
VEGF	NDUFA12	3.0580236529621	7.11690527223861e-07
VEGF	CWC22	2.83445126266805	7.18083042833057e-07
VEGF	IL18RAP	1.74335350936269	7.20813139428369e-07
VEGF	RRP7BP	9.74608371194484	7.49814034331791e-07
VEGF	RGMB	3.13981868765968	7.60797249193547e-07
VEGF	AGO2	4.30030798042986	8.07213625373863e-07
VEGF	FAM117B	-2.93886551019838	8.45555168462628e-07
VEGF	DNAJC24	1.60155194872165	8.45863976193945e-07
VEGF	MED18	1.98995707038345	8.54003578721723e-07
VEGF	ZNF526	1.79965742345879	9.64058664095439e-07
VEGF	PDXDC1	-1.09264789538017	9.78805405520203e-07
VEGF	ACY3	-1.19525028139936	9.7899299721795e-07
VEGF	ICA1L	-1.21256149832437	9.82517967920267e-07
VEGF	PLXNA4	-1.20782466055402	9.86916929029257e-07
VEGF	ODAD2	-0.877798501092155	9.96366373232624e-07
VEGF	ZNF267	3.52497368004398	9.99759576446086e-07
VEGF	ZNF830	1.72232309812432	1.01163026417259e-06
VEGF	MYB	2.52976284702002	1.03595458732479e-06
