gmean	variance	residual_variance	gene
0.0189636167851186	1.09061639744735	8.74248420218535	ASPM
0.447209610999841	5.92333981998469	8.73265436418283	CXCR4
0.165103748707149	6.90844283977003	8.7002404635287	ERG
0.0206776957802026	0.45418176869819	8.69106705559635	NPHS1
0.303065080435819	19.4171321067507	8.67613635996058	COL25A1
0.597636254568674	37.4360994822232	8.62328755192352	LSAMP
3.30963115118406	711.00792747783	8.62212596025908	RORA
0.0386739702376802	0.350711315386299	8.60809541775319	CD2
0.0220268990004469	0.883972176215464	8.59797442456523	AC092657.2
1.05764257673388	99.2907505457428	8.58706906876188	IL1RAPL2
0.286788665104374	21.2442615902105	8.53073480144026	BCAM
0.1724244142417	2.16318914202524	8.4750348799341	TREM2
0.0269685892225973	0.515394991532515	8.45989735280981	IL1RN
0.0972506144286476	1.0174992294838	8.45792708901495	AC009313.1
0.473347517237512	20.3449512518059	8.4529061994243	PITPNC1
0.705659749138658	43.7483359350649	8.44151078926249	VWA1
0.615437518278311	42.9588958101678	8.4345573279398	RGS16
0.0145694123107352	0.512225656128834	8.40052749580122	S100A8
0.653599873118518	54.3557474817875	8.38304946495385	SOD3
1.14819732998297	42.0706262662635	8.36898452301104	SOD2
0.57599704466575	30.0400663946105	8.36370496660678	ISG15
0.111358244909956	3.60218538576948	8.3141933236068	KCNJ6
0.0450842000808411	1.30285700685108	8.31159776347841	FMO2
1.01527884726733	110.073728613754	8.30844390822304	POSTN
0.0444758870937818	1.58015981549694	8.26293482337448	COX4I2
0.174356273748021	9.99769778206862	8.25531889641234	RGS3
0.524372889330063	47.7051301116005	8.23877588141795	KRT18
1.1939936656465	118.796707140543	8.23553507392544	MEIS2
0.106824640623236	1.81812343816321	8.23023618914947	RP11-556E13.1
0.147855747727562	5.63602221501297	8.22169212551172	GRIN2B
0.672022213265201	15.0716109057837	8.20227164156924	LDLRAD4
0.206919578544655	2.98599004046352	8.16386911949116	GK
0.984356300184968	81.0558219377127	8.16053840154198	NLGN1
0.0900432753308076	2.50126906219164	8.09205972289821	KCNAB1
0.214455681182339	5.56023953525151	8.07902587967442	CADM2
0.982534207712034	27.7841386974035	8.07661256478961	SGK1
0.138431352290928	1.1348865767366	8.06794871499804	TAGAP
0.0286865180281231	0.327242917934116	8.05748446849872	ICOS
0.122539816195052	7.58887524639696	8.01764829223658	LINC00669
0.154593120177934	1.45829159093014	7.98608926334906	ADAM28
0.110780829808896	1.09640816128012	7.96961314060233	IL4I1
0.130271801503202	3.48131822000492	7.96651340925004	ABCB5
1.2245103970841	96.391992874859	7.89546485809369	KIAA1217
0.162354057298083	6.11921526869069	7.88476055914324	NPFFR2
1.4683979079118	155.751514445949	7.87860752684738	PTN
0.0471583233260493	0.34133107602697	7.87079602144733	CST7
0.302892429573457	12.4829646324864	7.86779589063749	CHRM3
0.116688491538769	3.09322902949796	7.84138738956499	NKAIN2
0.198084950379443	2.36668551779638	7.81441616223986	CFD
0.443198566481517	19.4336320366411	7.8125566783264	ST6GALNAC5
3.28426847524141	262.211348000651	7.77555942262685	HSPA1A
1.96678798843761	135.036970290584	7.75741304614885	IER3
0.137615799919847	1.56322598192741	7.74271991652719	F13A1
0.126344712107155	1.64274411738684	7.73367258324914	C3
0.0531067653874475	0.346094737533807	7.71862738106249	PTPRCAP
0.0331782924027775	0.33275979676654	7.70174070478319	THEMIS
0.917823907677014	136.81639637803	7.70052767900236	MYL9
0.0402847649994609	0.339224889148287	7.68446479816124	CCDC64
0.179619626579642	2.55547387307583	7.68359815668181	C3AR1
0.217060562079743	4.0138048564856	7.67491861134856	SEMA4A
0.912733508387633	84.9186054786227	7.67246025385541	ID3
0.0186873160840593	0.46918226627833	7.65150721635333	PRG4
0.329179400825337	12.3530229502587	7.64290091611343	PREX2
0.0269357028116808	1.60280435131676	7.62813631076944	TOP2A
0.162121063383939	4.48209468648226	7.54018895863136	RCAN2
0.122003798839344	4.35909270357797	7.5323745180563	KCNB2
0.0195246878290793	0.55049810617722	7.52774611956589	CTD-3179P9.1
0.285406283358792	5.49010736520368	7.52761582662085	HS3ST4
2.50316957258965	377.183318630144	7.52108868865766	AUTS2
0.0210903968752658	0.575394877701357	7.50727422001867	CXCL1
2.21033820562005	238.980519108028	7.50515625265209	ITGB8
0.175185115117997	1.09833763390901	7.48702869947522	SKAP1
0.0710584864929118	2.08968815609218	7.46423902868855	S100A1
0.0372306902704476	0.305316967172301	7.43705199665399	CD3D
0.474727903188706	23.2752472593854	7.43111122170014	CACNB2
0.0198833092127069	0.300753545021344	7.41740850578379	IL7R
1.58830024052981	145.214785667138	7.36614262243539	FN1
0.0431629575340955	1.32626269368329	7.36406479398788	RP11-589M4.3
0.430351344048199	15.3817994670979	7.35470454293329	C1R
0.847936920194809	59.3989365410257	7.30857894577059	IFI27
0.378607244230812	14.6978887252135	7.28835773396399	SERPINF1
0.654420696938435	27.5597950073312	7.2882861840663	TRPM3
0.0758664417046702	0.445816799788751	7.27649120439604	SLA
0.0730214090300858	0.871382691558434	7.27543293725044	CXorf21
0.0212195546389136	0.390318315036699	7.24576209571314	IL1R2
0.0209616607458691	1.44105548389366	7.23252251187693	TNMD
0.00660831875353796	2.70101194175087	7.22637593567347	KISS1
0.03099908824046	0.680525541211104	7.20088789022372	RP11-608O21.1
0.235935045075931	9.23136258828602	7.19123928320011	ELTD1
0.62887127617934	29.2293806498411	7.18693224433542	PLCB1
0.288218204525759	11.0840979423981	7.18304392640491	RARRES1
0.0845796525885423	0.612741121557706	7.15266131593933	TRAC
0.288401057273242	9.01454458654362	7.14109759971681	PPP2R2B
0.276831552709641	8.05454426919626	7.13030919936134	C1S
0.056224848918772	1.43612590484991	7.12909685306959	SLC38A11
0.251556453940889	10.1102307133367	7.11373398064457	FSTL5
0.0547449887605771	0.353760783130775	7.08985200452234	CD247
0.025152754624425	0.314586962779453	7.08123499294358	CRTAM
0.0436591283620109	1.68548802780792	7.03932362397888	KCTD8
15.541675185657	446.078631218266	7.00956963091424	AC105402.4
0.998872086462387	66.0874237094096	7.00301068514586	THBS2
0.0126521770703687	0.280817052459434	7.0026455357768	CD1C
0.0643020347504852	0.499471702695095	6.96855325923331	ST18
0.277993714119945	9.7574156946608	6.95354205594872	KCNIP1
0.252086035336359	11.412333640505	6.9291496200525	SULT1E1
0.0651717584301668	0.440274671135744	6.91566096359162	TRBC2
0.159580869349362	4.07895984536896	6.90526013395805	CCDC102B
1.18508742653647	108.343832257025	6.88724937318144	CNTN4
0.461190200943564	21.8847286360042	6.8313139515537	SEMA3B
4.8116831057027	908.620046667329	6.82703288281054	TIMP1
1.50650102969682	69.3789845260317	6.82445662809207	GADD45B
