gene	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	specificity
TGFA	4	2.09759188192941e-254	3.08686161163692	0.729	0.142	5.79921227597023e-250	0.587
VEGFA	4	9.47793269829933e-234	2.7892178867792	0.989	0.652	2.62036405309881e-229	0.337
AP000462.2	4	1.62889637409461e-227	2.78250076148125	0.734	0.159	4.50340980545938e-223	0.575
CRYAB	4	8.34707768537378e-219	2.39068847939117	0.985	0.487	2.30771656767529e-214	0.498
VIM	4	2.36658366590769e-198	1.6081224030846	1	0.995	6.54289386113499e-194	0.005
PMP22	4	2.09431848455102e-195	2.45245785076455	0.959	0.593	5.7901623142382e-191	0.366
CADM1	4	8.33793514149435e-190	2.01936815944459	1	0.691	2.30518892856894e-185	0.309
CXXC5	4	1.89167756570209e-183	2.40286434217048	0.937	0.481	5.22992096589658e-179	0.456
TIMP3	4	3.96537852343306e-181	2.28791513347247	0.998	0.77	1.09630820037354e-176	0.228
LOX	4	2.26073024224605e-180	4.35121202434665	0.509	0.092	6.25024090073765e-176	0.417
OLFM1	4	1.78481142259344e-178	3.46948191054756	0.584	0.128	4.93446814004407e-174	0.456
MAL	4	1.83104769441014e-169	2.41090173366095	0.641	0.147	5.06229756073571e-165	0.494
COL8A1	4	1.05223187195923e-161	1.7684407341655	0.991	0.653	2.90910545640567e-157	0.338
S100A10	4	6.57995168789461e-161	1.65523184629456	0.998	0.829	1.81915924315222e-156	0.169
NDRG1	4	1.17216024592031e-149	2.11900839520837	0.931	0.628	3.24067143189588e-145	0.303
GAPDH	4	3.99209874297989e-142	1.37139933263717	1	0.98	1.10369553947165e-137	0.02
RNASE1	4	1.24506163552764e-138	1.68837683267991	0.649	0.171	3.44222190374326e-134	0.478
GSN	4	2.41888682875639e-138	1.85310284673789	0.996	0.871	6.68749641546278e-134	0.125
NDST4	5	0	3.93773942871944	0.64	0.063	0	0.577
SULT1E1	5	0	3.51146061095261	0.745	0.091	0	0.654
COL25A1	5	0	3.47660622291098	0.772	0.114	0	0.658
RP11-125B21.2	5	0	3.46756692847105	0.698	0.091	0	0.607
COL4A5	5	0	3.38529399357967	0.841	0.128	0	0.713
ZNF423	5	0	3.23574700249143	0.875	0.138	0	0.737
PTPRD	5	0	3.10189557863748	0.922	0.179	0	0.743
GLI2	5	0	3.0949725364077	0.861	0.166	0	0.695
GAS2	5	0	3.07695010509348	0.919	0.181	0	0.738
RP11-909M7.3	5	0	2.98256935996136	0.946	0.198	0	0.748
SHROOM3	5	4.90538058009768e-307	3.16413970730034	0.85	0.163	1.35619056897961e-302	0.687
KIAA1211	5	1.16430210700642e-302	3.02961963551777	0.801	0.134	3.21894603524066e-298	0.667
NRK	5	6.36648040091659e-297	3.42514778573837	0.644	0.082	1.76014083644141e-292	0.562
CSRNP3	5	7.21489225945964e-294	2.92788744936294	0.937	0.235	1.99470126297281e-289	0.702
