gene	cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ST13	8	2.80569760721462e-13	0.868335850469804	0.683	0.4	5.07719039001557e-09
ATP6V1D	8	3.47293673974334e-13	1.42781876550096	0.323	0.126	6.28462632423955e-09
RAN	8	3.88009794669208e-13	0.848523194678017	0.796	0.582	7.02142524433398e-09
ITGB1BP1	8	3.93013014949256e-13	1.07116776770116	0.389	0.16	7.11196351852173e-09
RHOQ	8	5.47935412300091e-13	1.36976663157096	0.377	0.163	9.91543922098245e-09
CTSL	8	5.94897711343636e-13	0.929573111217651	0.557	0.292	1.07652689844744e-08
CTSA	8	6.81285570304707e-13	1.65159029695838	0.533	0.301	1.2328543680234e-08
POMP	8	7.19860381242399e-13	0.725985264703306	0.886	0.715	1.30265934589624e-08
SLC25A37	8	7.20064367350409e-13	2.3241751985091	0.257	0.094	1.3030284791573e-08
SWI5	8	7.4912519238926e-13	1.39975594992562	0.305	0.115	1.3556169481476e-08
NTMT1	8	7.56342000902592e-13	1.29534552848952	0.383	0.168	1.36867648483333e-08
MDH1	8	7.77408255031046e-13	0.963772955807098	0.515	0.253	1.40679797830418e-08
ABHD2	8	8.50393482450371e-13	1.35148043060245	0.317	0.123	1.53887204584219e-08
GGCT	8	9.2011766360012e-13	1.46411920281308	0.287	0.105	1.66504492405078e-08
ATP6V0E1	8	9.87901811868188e-13	0.736712437071717	0.916	0.734	1.78770711875667e-08
CRIP2	8	1.29542805799146e-12	0.789582697784473	0.335	0.126	2.34420661374134e-08
TUBA1A	8	1.47316450623629e-12	0.972160057713437	0.587	0.336	2.66583849048518e-08
PEA15	8	1.62506746477335e-12	1.42436530393373	0.329	0.133	2.94072208425385e-08
CD9	8	1.65345429038051e-12	0.981008656209253	0.527	0.269	2.99209088387256e-08
IFI27L2	8	2.22917622572172e-12	0.700654113206499	0.772	0.478	4.03391729806603e-08
FKBP1A	8	2.53027144613598e-12	0.49774331831016	0.796	0.495	4.57877920892767e-08
ATP5H	8	2.752877573196e-12	0.904232107483869	0.641	0.393	4.98160725645548e-08
LDHB	8	2.97388009135472e-12	1.14542006219653	0.533	0.294	5.38153341331551e-08
DAD1	8	3.84553774737392e-12	0.633679976092253	0.934	0.677	6.95888510764785e-08
C4orf48	8	4.88577753233462e-12	0.756052557402603	0.743	0.469	8.84130302251273e-08
SHFM1	8	5.2863596285483e-12	0.662784321284776	0.814	0.565	9.566196383821e-08
SBDS	8	6.26197509161593e-12	0.857336952429308	0.533	0.272	1.13316701257882e-07
ADH5	8	6.80646189047885e-12	1.30710168515015	0.359	0.157	1.23169734370105e-07
NCOR2	8	8.70103470796133e-12	1.24045903531343	0.347	0.148	1.57453924075268e-07
TMCO3	8	1.12386288144258e-11	1.58129470770504	0.251	0.091	2.03374227025848e-07
TMEM14C	8	1.17458659594792e-11	0.78604729770044	0.689	0.429	2.12553190402736e-07
FBXW5	8	1.22326086700981e-11	1.27874054896425	0.401	0.188	2.21361286494096e-07
CTSF	8	1.36458946948545e-11	1.70814054085408	0.263	0.1	2.46936110398087e-07
MYL12A	8	1.54382045396177e-11	0.500167105230099	0.976	0.821	2.79369749348921e-07
SMIM4	8	1.62966193193008e-11	1.13053850939226	0.437	0.213	2.94903623202067e-07
TUBA1B	8	1.7948472822128e-11	0.97035401411315	0.826	0.614	3.24795564189228e-07
TMEM167A	8	1.81181166414803e-11	0.974074198245792	0.593	0.366	3.27865438744227e-07
MAP4K4	8	1.97726525714287e-11	1.48043920813256	0.281	0.109	3.57805920932573e-07
AXL	8	2.16310794671781e-11	0.880462899592547	0.407	0.183	3.91436014038055e-07
RPL26L1	8	2.20709563852004e-11	1.14257879638255	0.371	0.165	3.99396026746586e-07
CCT5	8	2.31184729287633e-11	1.41955776710781	0.347	0.155	4.18351886118901e-07
ITGAV	8	2.91563753516336e-11	1.32728842099228	0.329	0.141	5.27613768363161e-07
TGFBR2	8	3.91413673490683e-11	0.991914418158266	0.425	0.203	7.08302183548741e-07
TRIP6	8	3.91454991595495e-11	1.53119609611467	0.251	0.093	7.08376952791209e-07
RNH1	8	4.04278718121346e-11	0.823675098576443	0.659	0.407	7.31582768312387e-07
